Series,Title,Pages,Words,"Year Published","Years Elapsed","Cumulative Pages","Cumulative WC","Source URI",Edition,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title,Pages,Words,Year
Discworld,"Thief of Time",434,104277,2001,18,9824,2234112,http://www.amazon.com/Thief-Time-Discworld-Novel-Novels-ebook/dp/B00351YEXK/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"The Last Hero",,41422,2001,18,9824,2275534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"The Amazing Maurice and his Educated Rodents",292,66000,2001,18,10116,2341534,http://www.amazon.com/Amazing-Maurice-his-Educated-Rodents-ebook/dp/B0038AUYAU/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"Night Watch",362,118109,2002,19,10478,2459643,http://www.amazon.com/Night-Watch-Discworld-Novel-Novels-ebook/dp/B0031RS65K/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"The Wee Free Men",404,75444,2003,20,10882,2535087,http://www.amazon.com/Wee-Free-Men-Discworld-Novels-ebook/dp/B00354YA7M/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"Monstrous Regiment",380,118786,2003,20,11262,2653873,http://www.amazon.com/Monstrous-Regiment-Discworld-Terry-Pratchett-ebook/dp/B00354YA1S/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"A Hat Full of Sky",298,80339,2004,21,11560,2734212,http://www.amazon.com/Hat-Full-Sky-Discworld-Novels-ebook/dp/B003T0FK58/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"Going Postal",484,120624,2004,21,12044,2854836,http://www.amazon.com/Going-Postal-Discworld-Terry-Pratchett-ebook/dp/B00351YEX0/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,Thud!,468,112885,2005,22,12512,2967721,http://www.amazon.com/Thud-Discworld-Novel-34-Novels-ebook/dp/B0031RS6NC/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,Wintersmith,468,96425,2006,23,12980,3064146,http://www.amazon.com/Wintersmith-Discworld-Novel-35-Novels-ebook/dp/B0038AUYTQ/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"Making Money",480,115503,2007,24,13460,3179649,http://www.amazon.com/Making-Money-Discworld-Novel-Novels-ebook/dp/B00351YF0W/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"Unseen Academicals",404,139844,2009,26,13864,3319493,http://www.amazon.com/Unseen-Academicals-Discworld-Novel-Novels-ebook/dp/B0031R5K7C/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"I Shall Wear Midnight",434,112443,2010,27,14298,3431936,http://www.amazon.com/Shall-Wear-Midnight-Discworld-Novels-ebook/dp/B003T0G9XU/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,Snuff,423,134687,2011,28,14721,3566623,http://www.amazon.com/Snuff-Discworld-Novel-39-Novels-ebook/dp/B00563M11M/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discworld,"Raising Steam",381,,2013,30,15102,3566623,http://www.amazon.com/Raising-Steam-Discworld-novel-Novels-ebook/dp/B00DSO9RMC/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","The Gunslinger",280,55000,1982,0,280,55000,http://www.amazon.com/Dark-Tower-Gunslinger-Bk-ebook/dp/B003BVFZ46/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","The Drawing of the Three",438,128000,1987,5,718,183000,http://www.amazon.com/Dark-Tower-II-Drawing-Three-ebook/dp/B003BVFZ6O/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","The Waste Lands",612,178000,1991,9,1330,361000,http://www.amazon.com/Dark-Tower-III-Waste-Lands-ebook/dp/B003BVFZ6Y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","Wizard and Glass",728,264000,1997,15,2058,625000,http://www.amazon.com/Dark-Tower-IV-Wizard-Glass-ebook/dp/B003BVFZ50/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","Wolves of the Calla",752,251000,2003,21,2810,876000,http://www.amazon.com/Dark-Tower-Wolves-Calla-v-ebook/dp/B003BVFZ64/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","Song of Susannah",451,131000,2004,22,3261,1007000,http://www.amazon.com/Dark-Tower-VI-Song-Susannah-ebook/dp/B003BVFZ3W/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dark Tower","The Dark Tower",740,272273,2004,22,4001,1279273,http://www.amazon.com/Dark-Tower-VII-v-ebook/dp/B003BVFZ6E/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,Dune,611,,1965,0,611,0,http://www.amazon.com/Dune-Frank-Herbert-ebook/dp/B004KA9UXO/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,"Dune Messiah",340,,1969,4,951,0,http://www.amazon.com/Dune-Messiah-Frank-Herbert-ebook/dp/B00590YMHI/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,"Children of Dune",420,,1976,11,1371,0,http://www.amazon.com/Children-Dune-Third-Novel-ebook/dp/B004JHY8OY/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,"God Emperor of Dune",464,,1981,16,1835,0,http://www.amazon.com/God-Emperor-Dune-Fourth-Novel-ebook/dp/B004JHY8WG/,kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,"Heretics of Dune",480,,1984,19,2315,0,http://www.amazon.com/Heretics-Dune-Frank-Herbert/dp/0441328008/,"mass market paperback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,"Chapterhouse: Dune",448,,1985,20,2763,0,http://www.amazon.com/Chapterhouse-Dune-Chronicles-Book/dp/0441102670/,"mass market paperback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","On Basilisk Station",432,,1992,0,432,0,http://www.amazon.com/Basilisk-Station-Honor-Harrington-Book-ebook/dp/B00ARPJBS0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","The Honor of the Queen",393,,1993,1,825,0,http://www.amazon.com/Honor-Queen-Harrington-Book-ebook/dp/B00BBI9WD6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","The Short Victorious War",384,,1994,2,1209,0,http://www.amazon.com/Short-Victorious-Honor-Harrington-Book-ebook/dp/B00AP9XIK0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","Field of Dishonor",384,,1994,2,1593,0,http://www.amazon.com/Field-Dishonor-Honor-Harrington-Book-ebook/dp/B00APAEID0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","Flag in Exile",424,,1995,3,2017,0,http://www.amazon.com/Flag-Exile-Honor-Harrington-Book-ebook/dp/B00APAENUI/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","Honor Among Enemies",556,,1996,4,2573,0,http://www.amazon.com/Honor-Among-Enemies-Harrington-Book-ebook/dp/B00APAH4YU/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","In Enemy Hands",544,,1997,5,3117,0,http://www.amazon.com/Enemy-Hands-Honor-Harrington-Book-ebook/dp/B00APAR9AE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","Echoes of Honor",718,,1998,6,3835,0,http://www.amazon.com/Echoes-Honor-Harrington-Book-ebook/dp/B00APADZKW/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","Ashes of Victory",672,,2000,8,4507,0,http://www.amazon.com/Ashes-Victory-Honor-Harrington-Book-ebook/dp/B00AP9CXG0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","War of Honor",976,,2002,10,5483,0,http://www.amazon.com/War-Honor-Harrington-Book-10-ebook/dp/B00AP91YH4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","At All Costs",892,,2005,13,6375,0,http://www.amazon.com/All-Costs-Honor-Harrington-Book-ebook/dp/B00AP9CUWM/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","Mission of Honor",880,,2010,18,7255,0,http://www.amazon.com/Mission-Honor-Harrington-Book-12-ebook/dp/B00APAQZYK/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honor Harrington","A Rising Thunder",464,,2012,20,7719,0,http://www.amazon.com/Rising-Thunder-Honor-Harrington-Book-ebook/dp/B00AP987T2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern",Dragonsdawn,480,,1988,20,480,0,http://www.amazon.com/Dragonsdawn-Dragon-Books-Anne-McCaffrey-ebook/dp/B008FY4FUY/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","First Fall",288,,1993,25,768,0,http://www.amazon.com/Chronicles-Pern-First-Dragon-Books-ebook/dp/B008FY4XGA/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Red Star Rising",420,,1996,28,1188,0,http://www.amazon.com/Red-Star-Rising-Chronicles-Dragon-ebook/dp/B008FY4OI2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Moreta: Dragonlady of Pern",480,,1983,15,1668,0,http://www.amazon.com/Moreta-Dragonlady-Pern-Dragon-Books-ebook/dp/B008FY4KUE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Nerilka's Story",256,,1986,18,1924,0,http://www.amazon.com/Nerilkas-Story-Coelura-Dragon-Books-ebook/dp/B008FY4M7K/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Masterharper of Pern",468,,1998,30,2392,0,http://www.amazon.com/Masterharper-Pern-Dragon-Books-ebook/dp/B008PU9A9O/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern",Dragonflight,356,,1968,0,2748,0,http://www.amazon.com/Dragonflight-Dragon-Books-Anne-McCaffrey-ebook/dp/B008FY4KBS/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern",Dragonquest,452,,1970,2,3200,0,http://www.amazon.com/Dragonquest-Dragon-Books-Anne-McCaffrey-ebook/dp/B008FY54MM/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern",Dragonsong,288,,1976,8,3488,0,http://www.amazon.com/Dragonsong-Dragon-Books-Anne-McCaffrey-ebook/dp/B008FY4V4E/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern",Dragonsinger,288,,1977,9,3776,0,http://www.amazon.com/Dragonsinger-Harper-Pern-Dragon-Books-ebook/dp/B008FY4EL4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern",Dragondrums,259,,1979,11,4035,0,http://www.amazon.com/Dragondrums-Dragon-Books-Anne-McCaffrey-ebook/dp/B008PU9IGO/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","The White Dragon",350,,1978,10,4385,0,http://www.amazon.com/White-Dragon-Books-ebook/dp/B008FY4R5M/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Renegades of Pern",388,,1989,21,4773,0,http://www.amazon.com/Renegades-Pern-Dragon-Books-ebook/dp/B008FY4NA6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","All the Weyrs of Pern",484,,1991,23,5257,0,http://www.amazon.com/All-Weyrs-Pern-Dragon-Books-ebook/dp/B008FY575G/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Dolphins of Pern",320,,1994,26,5577,0,http://www.amazon.com/Dolphins-Pern-Dragon-Books-ebook/dp/B008FY4GYE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragonriders of Pern","Skies of Pern",480,,2001,33,6057,0,http://www.amazon.com/Skies-Pern-Anne-McCaffrey/dp/0345434692/,"mass market paperback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Pawn of Prophecy",400,88155,1982,0,400,88155,http://www.amazon.com/Pawn-Prophecy-Book-One-Belgariad-ebook/dp/B0038AUYN2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Queen of Sorcery",338,104416,1982,0,738,192571,http://www.amazon.com/Queen-Sorcery-Book-Two-Belgariad-ebook/dp/B003GFIVP2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Magician's Gambit",452,95769,1983,1,1190,288340,http://www.amazon.com/Magicians-Gambit-Book-Three-Belgariad-ebook/dp/B0038AUYMS/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Castle of Wizardry",386,118706,1984,2,1576,407046,http://www.amazon.com/Castle-Wizardry-Book-Four-Belgariad-ebook/dp/B00352B482/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Enchanters' End Game",448,115520,1984,2,2024,522566,http://www.amazon.com/Enchanters-End-Game-Book-Belgariad-ebook/dp/B003ARUTRY/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Guardians of the West",450,,1987,5,2474,522566,http://www.amazon.com/Guardians-West-Malloreon-TW-ebook/dp/B003ARUTT2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","King of the Murgos",418,,1988,6,2892,522566,http://www.amazon.com/King-Murgos-Malloreon-TW-ebook/dp/B003ARUTS8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Demon Lord of Karanda",402,,1988,6,3294,522566,http://www.amazon.com/Demon-Lord-Karanda-Malloreon-TW-ebook/dp/B003ARUTJW/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","Sorceress of Darshiva",386,,1989,7,3680,522566,http://www.amazon.com/Sorceress-Darshiva-Malloreon-TW-ebook/dp/B003ARUTKQ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgariad + Mallorean","The Seeress of Kell",452,,1991,9,4132,522566,http://www.amazon.com/Seeress-Kell-Malloreon-TW-ebook/dp/B003ARUTQA/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparhawk,"The Diamond Throne",448,,1989,0,448,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparhawk,"The Ruby Knight",384,,1991,2,832,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparhawk,"The Sapphire Rose",512,,1992,3,1344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparhawk,"Domes of Fire",480,,1992,3,1824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparhawk,"The Shining Ones",480,,1994,5,2304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparhawk,"The Hidden City",512,,1995,6,2816,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Wizard's First Rule",580,,1994,0,580,0,http://www.amazon.com/Wizards-First-Rule-RosettaBooks-into-ebook/dp/B00433TO4I/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Stone of Tears",996,,1996,2,1576,0,http://www.amazon.com/Stone-Tears-Sword-Truth-2-ebook/dp/B004LP3AYI/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Blood of the Fold",672,,1997,3,2248,0,http://www.amazon.com/Blood-Fold-Sword-Truth-3-ebook/dp/B004LZ56Z4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Temple of the Winds",836,,1998,4,3084,0,http://www.amazon.com/Temple-Winds-Sword-Truth-4-ebook/dp/B004LZ5708/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Soul of the Fire",512,,1999,5,3596,0,http://www.amazon.com/Soul-Fire-Sword-Truth-5-ebook/dp/B004OEJE3C/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Faith of the Fallen",702,,2000,6,4298,0,http://www.amazon.com/Faith-Fallen-Sword-Truth-Goodkind-ebook/dp/B004BSG95C/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","The Pillars of Creation",736,,2001,7,5034,0,http://www.amazon.com/Pillars-Creation-Sword-Truth-ebook/dp/B004BSG952/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","Naked Empire",705,,2003,9,5739,0,http://www.amazon.com/Naked-Empire-Sword-Truth-Goodkind-ebook/dp/B004BSG93Y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth",Chainfire,755,,2005,11,6494,0,http://www.amazon.com/Chainfire-Sword-Truth-Terry-Goodkind-ebook/dp/B004CYERO0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth",Phantom,692,,2005,11,7186,0,http://www.amazon.com/Phantom-Sword-Truth-Terry-Goodkind-ebook/dp/B004CYERUE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth",Confessor,757,,2007,13,7943,0,http://www.amazon.com/Confessor-Sword-Truth-Terry-Goodkind-ebook/dp/B0040ZN3KA/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","The Omen Machine",526,,2011,17,8469,0,http://www.amazon.com/Omen-Machine-Sword-Truth-ebook/dp/B004DNW65W/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sword of Truth","The Third Kingdom",529,,2013,19,8998,0,http://www.amazon.com/Third-Kingdom-Richard-Kahlan-ebook/dp/B00DA6XNBE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Sword of Shannara",,,1977,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Elfstones of Shannara",,,1982,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Wishsong of Shannara",,,1985,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Scions of Shannara",,,1990,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Druid of Shannara",,,1991,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Elf Queen of Shannara",,,1992,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Talismans of Shannara",,,1993,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","First King of Shannara",,,1996,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Running with the Demon",,,1997,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","A Knight of the Word",,,1998,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Angel Fire East",,,1999,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Ilse Witch",,,2000,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series",Antrax,,,2001,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series",Morgawr,,,2002,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Jarka Ruus",,,2003,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series",Tanequil,,,2004,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series",Straken,,,2005,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Armageddon's Children",,,2006,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Elves of Cintra",,,2007,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Gypsy Morph",,,2008,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Bearers of the Black Staff",,,2010,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The Measure of the Magic",,,2011,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Wards of Faerie",,,2012,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Bloodfire Quest",,,2013,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","Witch Wraith",,,2013,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shannara Series","The High Druids Blade",,,2014,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Storm Front",,86758,2000,0,0,86758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Fool Moon",,100895,2001,1,0,187653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Grave Peril",,115758,2001,1,0,303411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Summer Knight",,111300,2002,2,0,414711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Death Masks",,108216,2003,3,0,522927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Blood Rites",,121290,2004,4,0,644217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dresden Files","Dead Beat",,144413,2005,5,0,788630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
